generous,She serves others before serving herself
generous,She regularly gives small gifts to people
generous,She offers to help whenever she can
generous,She gives others credit as often as possible
honest,She does not pretend to like things to impress people
honest,She tells the truth about her own mistakes
honest,She tells things that others prefer not to hear
honest,She offers truth about her own mistakes
patient,She stays calm and cheerful when things take longer than planned
patient,She knows the value of postponing gratification
patient,She can wait for things without frustration or complaint
patient,She does not mind starting something that will take a long time
respectful,"When she says, “it is good to see you”, she means it "
respectful,She can get along with people who have different beliefs
respectful,She wants to learn from the people around her
respectful,She likes it when someone offers an idea that contradicts one of her own
reflective ,Every situation is an opportunity for her to learn
reflective ,She watches how other people behave and learn from that
reflective ,She learns from past experiences
reflective ,She knows her patterns of behavior
resilient,"Even though yesterday was tough, she treats today as a fresh start"
resilient,She uses failure as reason to try again
resilient,She enjoys what challenges her
resilient,She does not dwell on past difficulties
doer,She is not afraid to take initiative
doer,"She enjoys taking steps, not just talking about which steps to take"
doer,Her sense of humor brings people together
doer,She is happy to try something new
accepts_criticism,She is not too stubborn to change after being criticized
accepts_criticism,She seeks out criticism and ways to improve
accepts_criticism,When she is criticized she listens rather than gets defensive
accepts_criticism,She accepts it when people challenge her ideas
listening,"If someone is talking to her about something important, she puts her phone away"
listening,She makes others feel heard
listening,She listens to others without judging what they say
listening,She asks good questions without swaying her own ideas
humour,Her sense of humor brings people together
humour,She can make fun of people without offending them
humour,She makes good jokes in a meeting
humour,She makes people laugh
story_telling,"When she tells a story, it has a thread listeners can follow"
story_telling,People often repeat her stories to others
story_telling,People lean in when she tells a story
story_telling,She tells stories with specifics people remember
outgoing,She turns small conversations into friendships
outgoing,She talks to people she does not know easily
outgoing,She can easily talk to strangers
outgoing,She enjoys being the center of the party
assertive,She states her opinions with conviction
assertive,She puts herself in a position to lead
assertive,"Regardless of the situation, she says what you want"
assertive,She pushes for the value of her ideas or plans
connector,She promotes good ideas in a discussion
connector,She introduces people to those who can help them
connector,She helps meetings run smoothly
connector,She makes sure everyone on the team has the information they need
manage_conflict,"When a team is divided, she will help bridge the two sides"
manage_conflict,She can raise difficult subjects without offending anyone
manage_conflict,She helps people settle disagreements
manage_conflict,She practices a “win-win” approach to working with people
reliable,She always does by what she says or promises
reliable,"If she promises to call or email, you definitely will "
reliable,She always lives up to her promises
reliable,People would trust her with the keys to their house
mentoring,She loves to see other people succeed
mentoring,She helps people around her do their best
mentoring,She asks questions that help people find their way
mentoring,She offers guidance to those who ask for it
motivator,She can get people excited to take on a big challenge
motivator,Her clarity of purpose is an example to others
motivator,Her energy is contagious
motivator,She inspires other people
visionary,She can see how today relates to tomorrow
visionary,She sees opportunities where others see problems or a puzzle
visionary,She sets clear goals that everyone can understand and follow
visionary,She can develop options quickly and choose the best one
empathetic,She takes a real interest in the lives of other people
empathetic,She feels the pain of others
empathetic,She never goes too far with a joke
empathetic,She is good at noticing when someone wants to enter a conversation
conceptual_thinking,She sees well how things work together
conceptual_thinking,​She can lay out helpful steps to making an idea a realty
conceptual_thinking,She is good at seeing the big picture
conceptual_thinking,Her viewpoint gives clarity to see messy reality
creative,"She often surprises other people with good, new ideas"
creative,She is not constrained by previous practice or ideas
creative,She sees beauty in little things
creative,She likes to play with new ways of doing things
inquisitive,She is always hunting down more information about what interests her
inquisitive,Her issues are always worth
inquisitive,She tends to ask questions more than making statements
inquisitive,She wants to get to the bottom of things
analytical,She likes things to be logical
analytical,She tends to be deliberate and precise
analytical,She needs facts and figures to be convinced
analytical,She makes sure optimism does not trump facts in her thinking
