category,sub-category,text,text_nl
virtue,generous,You serve others before serving yourself,Je denkt eerst aan anderen en dan pas aan jezelf
virtue,generous,You regularly give small gifts to people,Je geeft regelmatig cadeautjes aan anderen
virtue,generous,You offer to help whenever you can,Je biedt hulp aan waar mogelijk
virtue,generous,You give others credit as often as possible,Je geeft de eer zoveel mogelijk aan anderen
virtue,honest,"""You don't pretend to like things just to impress people""",Je doet niet alsof je iets leuk vindt alleen om indruk te maken op mensen
virtue,honest,You tell the truth about your own mistakes,Je geeft altijd je eigen fouten toe
virtue,honest,You speak up about important things that others may prefer to ignore,Je stelt dingen aan de orde die anderen liever niet willen horen
virtue,honest,You don't spend time worrying about what your peers think about you,Je besteedt geen tijd je zorgen te maken over wat anderen van je denken
virtue,patient,You stay calm and cheerful when things take longer than planned,"Je blijft rustig en opgewekt, ook wanneer dingen langer dan gepland duren"
virtue,patient,You know the value of postponing gratification,Je kent de waarde van uitstellen van een beloning
virtue,patient,You can wait for things without frustration or complaint,Je kunt zonder frustratie of klagen op dingen wachten
virtue,patient,You do not mind starting something that will take a long time,Je vindt het niet erg om aan iets te beginnen dat lang kan duren
virtue,respectful,"When you say, “it is good to see you”, you mean it ","Wanneer je tegen iemand zegt ""Het is fijn om je te zien"" meen je dat ook"
virtue,respectful,You easily get along with people who have different beliefs,Je kunt opschieten met mensen met een andere mening
virtue,respectful,You are eager to learn from the people around you,Je wilt leren van de mensen om je heen
virtue,respectful,You like it when someone offers an idea that contradicts one of your own,Je stelt het op prijs wanneer iemand met een idee komt dat anders is dan dat van jou
self_management,reflective,You believe that every situation is an opportunity for you to learn,Elke situatie is voor jou een nieuwe kans om iets te leren
self_management,reflective,"You observe others, and refine your own thoughts based on what you learn",Je observeert hoe mensen zich gedragen en leert hiervan
self_management,reflective,You learn from past experiences,Je leert van eerdere ervaringen
self_management,reflective,You know your patterns of behavior,Je kent je eigen gedragspatronen
self_management,resilient,"Even though yesterday was tough, you treat today as a fresh start","Ook al was gisteren moeilijk, je ziet vandaag als een nieuw begin"
self_management,resilient,You use failure as a motivation to try again,Je ziet falen als een reden om het nogmaals te proberen
self_management,resilient,You enjoy the things that challenge you,Je geniet van uitdagingen
self_management,resilient,You don’t dwell on past difficulties,Je blijft niet hangen bij problemen uit het verleden
self_management,doer,You are not afraid to take initiative,Je bent niet bang om initiatief te nemen
self_management,doer,"You enjoy taking steps, not just talking about which steps to take",Je houdt van stappen ondernemen in plaats van alleen over deze stappen te praten
self_management,doer,You finish what you start,Je maakt af waaraan je begint
self_management,doer,You are happy to try something new,Je probeert graag nieuwe dingen uit
self_management,accepts_criticism,You are not too stubborn to change after being criticized,Je bent na het ontvangen van kritiek niet te koppig om te veranderen 
self_management,accepts_criticism,You seek out criticism and ways to improve,Je staat open voor kritiek en zoekt naar verbetering
self_management,accepts_criticism,When you are criticized you listen rather than get defensive,"Wanneer je bekritiseerd wordt, luister je liever dan dat je in de verdediging gaat"
self_management,accepts_criticism,You don't mind when people challenge your ideas,Je accepteert vindt het niet erg wanneer mensen jouw ideeën bekritiseren
communication,listening,"If someone is talking to you about something important, you put your phone away","Als iemand over iets belangrijks met je praat, dan leg jij je telefoon weg"
communication,listening,You make others feel heard,Je geeft anderen het gevoel dat er naar ze geluisterd wordt
communication,listening,You consider the thoughts and opinions of others without judging them,Je luistert naar anderen zonder te veroordelen wat ze zeggen
communication,listening,"You ask good questions, without pushing your own ideas",Je stelt goede vragen zonder je eigen ideeen op de voorgrond te zetten
communication,humour,Your sense of humor brings people together,Je gevoel voor humor brengt mensen samen
communication,humour,You can make fun of people without offending them,Je kunt grapjes maken over mensen zonder ze te beledigen
communication,humour,You make funny observations and jokes in meetings,Je kunt tijdens een vergadering leuke grapjes maken 
communication,humour,You make people laugh,Je kunt mensen laten lachen
communication,story_telling,"When you tell a story, it has a thread listeners can follow","Wanneer je een verhaal vertelt, heeft dit een rode draad die luisteraars duidelijk kunnen volgen"
communication,story_telling,You tell stories that are interesting enough for others to repeat,Mensen vertellen je verhalen vaak door aan anderen
communication,story_telling,People tend to 'lean in' when you are talking,Mensen luisteren aandachtig wanneer je een verhaal vertelt
communication,story_telling,You tell stories with specifics that people remember,Je noemt details in je verhalen die mensen onthouden
communication,outgoing,You turn small conversations into friendships,Je zet luchtige gesprekken om in vriendschappen
communication,outgoing,You enjoy speaking with people you don’t know,Je vindt het leuk om met mensen te praten die je niet kent
communication,outgoing,"You can join in on any conversation, regardless of the topic of discussion","Je kunt makkelijk met vreemden praten Je kunt aan elk gesprek deelnemen, ongeacht het onderwerp"
communication,outgoing,You enjoy speaking in front of an audience,Je staat graag in het middelpunt van de belangstelling
teamwork,assertive,You state your opinions with conviction,Je laat vol overtuiging je mening horen
teamwork,assertive,You put yourself in a position to lead,Je plaatst jezelf in een leidinggevende positie
teamwork,assertive,"Regardless of the situation, you say what you want","Onafhankelijk van de situatie, zeg je wat je vindt"
teamwork,assertive,You push for the value of your ideas or plans,Je zorgt ervoor dat je ideeën of plannen gewaardeerd worden
teamwork,connector,You promote good ideas in a discussion,Je moedigt tijdens een discussie goede ideeën aan
