generous,You serve others before serving yourself
generous,You regularly give small gifts to people
generous,You offer to help whenever you can
generous,You give others credit as often as possible
honest,You do not pretend to like things to impress people
honest,You tell the truth about your own mistakes
honest,You tells things that others prefer not to hear
honest,You offer truth about your mistakes
patient,You stay calm and cheerful when things take longer than planned
patient,You know the value of postponing gratification
patient,You can wait for things without frustration or complaint
patient,You do not mind starting something that will take a long time
respectful,"When you say, “it is good to see you”, you mean it "
respectful,You can get along with people who have different beliefs
respectful,You want to learn from the people around you
respectful,You like it when someone offers an idea that contradicts one of your own
reflective,Every situation is an opportunity for you to learn
reflective,You watch how other people behave and learn from that
reflective,You learn from past experiences
reflective ,You know your patterns of behavior
resilient,"Even though yesterday was tough, you treat today as a fresh start"
resilient,You use failure as reason to try again
resilient,You enjoy what challenges you
resilient,You don’t dwell on past difficulties
doer,You are not afraid to take initiative
doer,"You enjoy taking steps, not just talking about which steps to take"
doer,You finish what you start
doer,You are happy to try something new
accepts_criticism ,You are not too stubborn to change after being criticized
accepts_criticism ,You seek out criticism and ways to improve
accepts_criticism ,When you are criticized you listen rather than get defensive
accepts_criticism ,You accept it when people challenge your ideas
listening,"If someone is talking to you about something important, you put your phone away"
listening,You make others feel heard
listening,You listen to others without judging what they say
listening,You ask good questions without swaying your own ideas
humour,Your sense of humor brings people together
humour,You can make fun of people without offending them
humour,You make good jokes in a meeting
humour,You make people laugh
story_telling,"When you tell a story, it has a thread listeners can follow"
story_telling,People often repeat your stories to others
story_telling,People lean in when you tell a story
story_telling,You tell stories with specifics people remember
outgoing,You turn small conversations into friendships
outgoing,You talk to people you don’t know easily
outgoing,You can easily talk to strangers
outgoing,You enjoy being the center of the party
assertive,You state your opinions with conviction
assertive,You put yourself in a position to lead
assertive,"Regardless of the situation, you say what you want"
assertive,You push for the value of your ideas or plans
connector,You promote good ideas in a discussion
connector,You introduce people to those who can help them
connector,You help meetings run smoothly
connector,You make sure everyone on the team has the information they need
manage_conflict,"When a team is divided, you will help bridge the two sides"
manage_conflict,You can raise difficult subjects without offending anyone
manage_conflict,You help people settle disagreements
manage_conflict,You practice a “win-win” approach to working with people
reliable,You always do by what you say or promise
reliable,"If you promise to call or email, you definitely will "
reliable,You always live up to your promises
reliable,People would trust you with the keys to their house
mentoring,You love to see other people succeed
mentoring,You help people around you do their best
mentoring,You ask questions that help people find their way
mentoring,You offer guidance to those who ask for it
motivator,You can get people excited to take on a big challenge
motivator,Your clarity of purpose is an example to others
motivator,Your energy is contagious
motivator,You inspire other people
visionary,You can see how today relates to tomorrow
visionary,You see opportunities where others see problems or a puzzle
visionary,You set clear goals that everyone can understand and follow
visionary,You can develop options quickly and choose the best one
empathetic,You take a real interest in the lives of other people
empathetic,You feel the pain of others
empathetic,You never go too far with a joke
empathetic,You are good at noticing when someone wants to enter a conversation
conceptual_thinking,You see well how things work together
conceptual_thinking,​You can lay out helpful steps to making an idea a realty
conceptual_thinking,You are good at seeing the big picture
conceptual_thinking,Your viewpoint gives clarity to see messy reality
creative,"You often surprise other people with good, new ideas"
creative,You are not constrained by previous practice or ideas
creative,You see beauty in little things
creative,You like to play with new ways of doing things
inquisitive,You are always hunting down more information about what interests you
inquisitive,You want to get to the bottom of things
inquisitive,You tend to ask questions more than making statements
inquisitive,Your issues are always worth
analytical,You like things to be logical
analytical,You tend to be deliberate and precise
analytical,You need facts and figures to be convinced
analytical,You make sure optimism does not trump facts in your thinking
